game,top_bot,bottom_bot,winner_side,winner_bot,moves,reason,final_player,final_vertex,opening_random,top_time,bottom_time,seed
1,heuristic,search,Bottom,search,116,normal,Bottom,3,3,0.0076,5.0803,42
2,search,heuristic,Top,search,60,normal,Top,151,3,2.966,0.0047,43
3,heuristic,search,Bottom,search,156,normal,Bottom,3,3,0.0098,6.6004,44
4,search,heuristic,Top,search,46,normal,Top,151,3,2.2156,0.0039,45
5,heuristic,search,Bottom,search,107,normal,Bottom,3,3,0.0073,4.7248,46
6,search,heuristic,Top,search,59,normal,Top,151,3,2.9757,0.0047,47
7,heuristic,search,Bottom,search,102,normal,Bottom,3,3,0.008,4.3332,48
8,search,heuristic,Bottom,heuristic,86,normal,Top,70,3,3.5252,0.005,49
9,heuristic,search,Bottom,search,44,normal,Bottom,3,3,0.0034,1.9185,50
10,search,heuristic,Top,search,78,normal,Top,151,3,3.8256,0.0058,51
11,heuristic,search,Bottom,search,36,normal,Bottom,3,3,0.0029,1.4573,52
12,search,heuristic,Top,search,130,normal,Top,151,3,5.7857,0.0092,53
13,heuristic,search,Top,heuristic,96,normal,Bottom,151,3,0.0057,3.7317,54
14,search,heuristic,Top,search,91,normal,Top,151,3,3.987,0.006,55
15,heuristic,search,Top,heuristic,67,normal,Bottom,114,3,0.004,2.6023,56
16,search,heuristic,Bottom,heuristic,108,normal,Top,37,3,4.6703,0.0073,57
17,heuristic,search,Top,heuristic,52,normal,Bottom,114,3,0.0033,2.0059,58
18,search,heuristic,Top,search,90,normal,Top,151,3,4.5209,0.0078,59
19,heuristic,search,Bottom,search,96,normal,Bottom,3,3,0.0065,4.3125,60
20,search,heuristic,Top,search,80,normal,Top,149,3,3.746,0.0069,61
21,heuristic,search,Bottom,search,22,normal,Bottom,3,3,0.0018,0.7907,62
22,search,heuristic,Top,search,155,normal,Top,151,3,7.2857,0.0114,63
23,heuristic,search,Bottom,search,204,normal,Bottom,3,3,0.0122,8.553,64
24,search,heuristic,Top,search,70,normal,Top,149,3,3.42,0.0057,65
25,heuristic,search,Bottom,search,29,normal,Bottom,3,3,0.0019,1.1901,66
26,search,heuristic,Top,search,110,normal,Top,151,3,5.2046,0.0071,67
27,heuristic,search,Bottom,search,72,normal,Bottom,3,3,0.0059,2.9407,68
28,search,heuristic,Top,search,126,normal,Top,151,3,5.7634,0.0102,69
29,heuristic,search,Bottom,search,90,normal,Bottom,3,3,0.0062,3.9074,70
30,search,heuristic,Top,search,31,normal,Top,151,3,1.4442,0.0032,71
31,heuristic,search,Top,heuristic,71,normal,Bottom,92,3,0.0044,2.9544,72
32,search,heuristic,Top,search,42,normal,Top,151,3,1.986,0.0033,73
33,heuristic,search,Bottom,search,56,normal,Bottom,1,3,0.0044,2.9256,74
34,search,heuristic,Bottom,heuristic,117,normal,Top,48,3,4.948,0.0079,75
35,heuristic,search,Bottom,search,176,normal,Bottom,1,3,0.0108,7.9313,76
36,search,heuristic,Bottom,heuristic,70,normal,Top,81,3,3.4086,0.004,77
37,heuristic,search,Top,heuristic,45,normal,Bottom,114,3,0.0022,1.672,78
38,search,heuristic,Top,search,53,normal,Top,151,3,2.4986,0.0041,79
39,heuristic,search,Top,heuristic,168,normal,Bottom,70,3,0.0094,6.9267,80
40,search,heuristic,Top,search,186,normal,Top,151,3,7.6251,0.0119,81
41,heuristic,search,Bottom,search,41,normal,Bottom,3,3,0.0033,1.5666,82
42,search,heuristic,Bottom,heuristic,87,normal,Top,81,3,3.7521,0.0058,83
43,heuristic,search,Bottom,search,60,normal,Bottom,3,3,0.0041,2.6088,84
44,search,heuristic,Top,search,34,normal,Top,151,3,1.6215,0.003,85
45,heuristic,search,Bottom,search,46,normal,Bottom,3,3,0.0032,2.2767,86
46,search,heuristic,Top,search,104,normal,Top,151,3,4.7139,0.0068,87
47,heuristic,search,Bottom,search,104,normal,Bottom,3,3,0.0068,4.4604,88
48,search,heuristic,Top,search,146,normal,Top,151,3,6.5835,0.0117,89
49,heuristic,search,Bottom,search,42,normal,Bottom,3,3,0.0033,1.8247,90
50,search,heuristic,Top,search,90,normal,Top,151,3,4.048,0.0055,91
