epoch,train_loss,train_acc,train_top3,test_loss,test_acc,test_top3
1,0.9793858125314607,0.2788246909340659,0.6853966346153846,0.9634270261932205,0.31438873626373626,0.7352335164835165
2,0.9168057317262167,0.3528717376373626,0.7650240384615384,0.8935614608146332,0.3860748626373626,0.792239010989011
3,0.8898366614357456,0.36830357142857145,0.7857142857142857,0.897405818268493,0.36881868131868134,0.7883756868131868
4,0.8815373832380379,0.3739483173076923,0.788826407967033,0.9107946648702516,0.359375,0.7735233516483516
5,0.8763433219967308,0.37669557005494503,0.7931619162087912,0.8733099364972376,0.34941620879120877,0.7766998626373627
6,0.8707240176397365,0.37618046016483514,0.7892342032967034,0.9045811799856333,0.37422733516483514,0.7879464285714286
7,0.8628453307754391,0.38296274038461536,0.7958662431318682,0.8645825995193733,0.39002403846153844,0.7972184065934066
8,0.8589418540289114,0.3827695741758242,0.7943853021978022,0.856772800723275,0.37242445054945056,0.7891483516483516
9,0.8496091920923401,0.39356541895604397,0.7991715315934066,0.8833537154145293,0.34555288461538464,0.7676854395604396
10,0.8465076267391771,0.3913762019230769,0.7980125343406593,0.8643409301946451,0.40453296703296704,0.8070054945054945
11,0.8386408542538737,0.3948746565934066,0.800051510989011,0.8418834870988197,0.39998282967032966,0.7973901098901099
12,0.8335497654401339,0.39884529532967034,0.8037431318681318,0.8318920528495705,0.39088255494505497,0.7949004120879121
13,0.826890379517943,0.40081988324175827,0.8047518887362637,0.851201593220889,0.39208447802197804,0.7985061813186813
14,0.8216402815593468,0.4033739697802198,0.8052884615384616,0.8251544191287115,0.40582074175824173,0.8079498626373627
15,0.8148029037229307,0.4049407623626374,0.8074562156593407,0.8224026881731473,0.4095123626373626,0.8054601648351648
16,0.8143715386862284,0.4037388392857143,0.806876717032967,0.8225798436573574,0.4053914835164835,0.8033997252747253
17,0.8083067768877679,0.4062929258241758,0.8089156936813187,0.8156369151649895,0.4067651098901099,0.8054601648351648
18,0.8029684956584658,0.40582074175824173,0.8116844093406593,0.813634203685509,0.3989526098901099,0.7978193681318682
19,0.7978148250789433,0.41183035714285715,0.8126502403846154,0.8123369433067658,0.40333104395604397,0.8054601648351648
20,0.7959049475062024,0.4133112980769231,0.8124570741758241,0.8082117281117283,0.41131524725274726,0.8034855769230769
21,0.7936263172836094,0.41348300137362637,0.8129507211538461,0.8134562484510652,0.41878434065934067,0.8085508241758241
22,0.7885481143718237,0.4144488324175824,0.8124570741758241,0.8083252461401971,0.41698145604395603,0.8126717032967034
23,0.7847046937261309,0.4158868475274725,0.8143672733516484,0.8122599085608682,0.4032451923076923,0.8053743131868132
24,0.7821078577211925,0.4180546016483517,0.8159555288461539,0.8112011466707502,0.4241929945054945,0.8157623626373627
25,0.7760809774582202,0.41942822802197804,0.818616929945055,0.811447085260035,0.40315934065934067,0.8109546703296703
26,0.7762824591699538,0.41738925137362637,0.8174793956043956,0.793021192917457,0.4133756868131868,0.8143028846153846
27,0.7722357305196615,0.4222398695054945,0.8207846840659341,0.7906066578823131,0.4195570054945055,0.8120707417582418
28,0.7715798896420133,0.42322716346153844,0.8177154876373627,0.8083688590552781,0.4114010989010989,0.807864010989011
29,0.7640612777117844,0.4272621909340659,0.8211066277472527,0.7922145030000708,0.4137190934065934,0.8144745879120879
30,0.7643558055489927,0.4259529532967033,0.8217934409340659,0.7940065402251023,0.41328983516483514,0.8082932692307693
31,0.7604560090617819,0.42792754120879123,0.8225875686813187,0.792256772518158,0.4145776098901099,0.809323489010989
32,0.7609671256044409,0.42839972527472525,0.8202695741758241,0.7951297825509376,0.41603708791208793,0.8131009615384616
33,0.758425642992114,0.4308894230769231,0.824712396978022,0.7869851464753622,0.40788118131868134,0.8072630494505495
34,0.7502226120495534,0.4371995192307692,0.8270303914835165,0.7986482277021303,0.4208447802197802,0.812242445054945
35,0.7502737500510372,0.43455958104395603,0.8265582074175825,0.7819920188778049,0.4185267857142857,0.8145604395604396
36,0.7485014309922418,0.4349029876373626,0.8289835164835165,0.7814287405747634,0.41990041208791207,0.8100103021978022
37,0.7476823624673781,0.43597613324175827,0.8276098901098901,0.7934470327345879,0.4152644230769231,0.8164491758241759
38,0.746489730673832,0.43868046016483514,0.8267513736263736,0.7892909462635334,0.41569368131868134,0.8065762362637363
39,0.7437807069374964,0.43810096153846156,0.828854739010989,0.7769042430343208,0.42324862637362637,0.8181662087912088
40,0.7393214651844003,0.444582760989011,0.8301854395604396,0.7765941934271173,0.42745535714285715,0.8132726648351648
41,0.7388041836547328,0.4424579326923077,0.8312585851648352,0.7761181167193821,0.4321771978021978,0.8198832417582418
42,0.7365809584056938,0.44293011675824173,0.8308722527472527,0.7789571370397296,0.42213255494505497,0.8179086538461539
43,0.7356928817845962,0.44419642857142855,0.8317093063186813,0.7801859712862707,0.417239010989011,0.8117273351648352
44,0.7338999454136733,0.4459563873626374,0.831301510989011,0.7790171137222877,0.4178399725274725,0.8090659340659341
45,0.7332817776190056,0.44580614697802196,0.8315161401098901,0.7839877769187257,0.421875,0.8172218406593407
46,0.729468720954853,0.44999141483516486,0.8333404876373627,0.7774419922095078,0.4305460164835165,0.8176510989010989
47,0.7312269898561331,0.4471797733516483,0.8330400068681318,0.7783231348781795,0.4286572802197802,0.8173935439560439
48,0.7255702734321028,0.45089285714285715,0.8337697458791209,0.7692288802220271,0.4339800824175824,0.8173935439560439
49,0.7238431584376556,0.4529103708791209,0.8340916895604396,0.7733994453817934,0.42393543956043955,0.8172218406593407
50,0.7245655099114219,0.45271720467032966,0.8355726304945055,0.7792999292467977,0.42333447802197804,0.8155048076923077
51,0.7205896886822941,0.45254550137362637,0.8375472184065934,0.7699142910621979,0.43123282967032966,0.8202266483516484
52,0.7196660944066204,0.4561727335164835,0.8369891826923077,0.7652306406052558,0.4331215659340659,0.8187671703296703
53,0.7163328903389501,0.45703125,0.8390496222527473,0.7798632953193162,0.41595123626373626,0.8163633241758241
54,0.7165461551029604,0.4587697458791209,0.8390281593406593,0.7842645763040899,0.42788461538461536,0.8176510989010989
55,0.7157975861004421,0.45705271291208793,0.8387920673076923,0.8005744493924655,0.41715315934065933,0.8076923076923077
56,0.7161063921975566,0.4582975618131868,0.8392427884615384,0.773113407931485,0.4416208791208791,0.8260645604395604
57,0.711305306507991,0.4599072802197802,0.8406164148351648,0.7682940016736041,0.43131868131868134,0.820570054945055
58,0.7099956301869926,0.4610662774725275,0.8384271978021978,0.7664950725796459,0.43080357142857145,0.8199690934065934
59,0.7095277566503693,0.4616887019230769,0.8405091002747253,0.7668130437096397,0.4441105769230769,0.8228021978021978
60,0.7075247029354285,0.46387791895604397,0.8423119848901099,0.7762007752617637,0.42925824175824173,0.8137877747252747
61,0.705611608185611,0.4637491414835165,0.8424622252747253,0.7697273309414203,0.42728365384615385,0.8164491758241759
62,0.7042969895915671,0.46653932005494503,0.8430417239010989,0.7683221422708951,0.43775755494505497,0.8210851648351648
63,0.7017719604811825,0.46677541208791207,0.8458319024725275,0.7725796941872481,0.4456559065934066,0.8228021978021978
64,0.7029929554069435,0.4664963942307692,0.8440290178571429,0.7631389112262935,0.4262534340659341,0.8165350274725275
65,0.7032526169831936,0.46458619505494503,0.8442007211538461,0.7708298825955653,0.42779876373626374,0.8144745879120879
66,0.6980774176644755,0.4678270947802198,0.8436641483516484,0.7567195774434687,0.43578296703296704,0.8250343406593407
67,0.6963933531072114,0.4687070741758242,0.8463040865384616,0.7774051637439937,0.42393543956043955,0.812242445054945
68,0.6973850578069687,0.4706172733516483,0.8458962912087912,0.7647809870950468,0.43149038461538464,0.8150755494505495
69,0.6977916024215929,0.4696514423076923,0.8457460508241759,0.7559786170393556,0.44333791208791207,0.8270089285714286
70,0.692465012381365,0.47130408653846156,0.848149896978022,0.7684853797430521,0.44059065934065933,0.8262362637362637
71,0.6928086960381203,0.4719479739010989,0.8483645260989011,0.7587486859206315,0.44702953296703296,0.8279532967032966
72,0.693053085234139,0.47008070054945056,0.8486435439560439,0.7720898206417377,0.42745535714285715,0.8194539835164835
73,0.6946228307027084,0.47003777472527475,0.8467762706043956,0.7583505092086372,0.4387019230769231,0.8216861263736264
74,0.6877745856623073,0.47538203983516486,0.8486006181318682,0.759462575336079,0.4424793956043956,0.8252060439560439
75,0.6879404205214846,0.4756825206043956,0.8472913804945055,0.767017886533842,0.4403331043956044,0.8246909340659341
76,0.6897300000374134,0.47398695054945056,0.8489440247252747,0.7653586026076432,0.44702953296703296,0.8215144230769231
77,0.6870055678454074,0.4733430631868132,0.8508756868131868,0.7624251239902371,0.4410199175824176,0.8244333791208791
78,0.6855416502598878,0.47450206043956045,0.8508971497252747,0.7641700067362942,0.43672733516483514,0.8174793956043956
79,0.6846919996397836,0.4762620192307692,0.8510903159340659,0.753741517171755,0.43973214285714285,0.8232314560439561
80,0.6841505959138765,0.4774210164835165,0.8509615384615384,0.768119196315388,0.43277815934065933,0.820570054945055
