epoch,lr,train_loss,train_acc,train_top3,test_loss,test_acc,test_top3,best_test_acc
1,0.0003,1.5206805537289518,0.32612958975637063,0.7288514730937216,1.5062346966178328,0.36441690720891323,0.7628835652957291,0.36441690720891323
2,0.0003,1.4866690608305324,0.37786457588547007,0.7722680045923099,1.4786537996044866,0.3922156239083672,0.7762865179901086,0.3922156239083672
3,0.0003,1.4724727187126814,0.3924300428588355,0.7797488938007902,1.4917486464535747,0.3591219135518744,0.744902649335368,0.3922156239083672
4,0.0003,1.4619540822281967,0.3981397876260945,0.7850827555493817,1.489670667383406,0.3612913901196889,0.7572024783511978,0.3922156239083672
5,0.0003,1.4542431719367837,0.4018700180178708,0.7885780590544907,1.451494124200609,0.40012134360464047,0.786012391755989,0.40012134360464047
6,0.0003,1.4459053350142,0.40761449110750664,0.793170368978211,1.4474428781756647,0.40436836976705703,0.7938261844790498,0.40436836976705703
7,0.0003,1.4401822182231259,0.4106930547440931,0.7959711060357825,1.458566372041349,0.38421797723888146,0.7757349561508338,0.40436836976705703
8,0.0003,1.4326526528858192,0.41466638339250766,0.7994807094383409,1.4423548623367592,0.40262175727601995,0.7968781599897041,0.40436836976705703
9,0.0003,1.427714845830563,0.4178654747361669,0.803161911610291,1.4371427650804873,0.3970877534886286,0.7835487488738946,0.40436836976705703
10,0.0003,1.4225255728763428,0.42193073129675557,0.8060035055177176,1.442143287923601,0.4028791528010149,0.7895791583166333,0.40436836976705703
11,0.0003,1.4188899384162121,0.42440461355548564,0.8081607471900701,1.4230161861137107,0.4193708517953338,0.806843043885937,0.4193708517953338
12,0.0003,1.4146054803951797,0.42830644271665363,0.8111780255518739,1.432621991192853,0.4213013182327959,0.8020444558842456,0.4213013182327959
13,0.0003,1.410682797929688,0.43078441066036927,0.8131268972899651,1.4229220262280218,0.4247945432148701,0.8087551249287566,0.4247945432148701
14,0.0003,1.4067598870004643,0.4345289409495949,0.8161462184942616,1.4145030511750116,0.420639444025666,0.8061627842841647,0.4247945432148701
15,0.0003,1.4030164756456347,0.43702733731823806,0.8181175614997732,1.4199904181339122,0.4291886525344267,0.8164034491000349,0.4291886525344267
16,0.0003,1.3992517320497548,0.44069832527772446,0.8207855137953154,1.4173288875155978,0.41955470574175874,0.7970436285414867,0.4291886525344267
17,0.0003,1.3949065810703285,0.4441936287828336,0.8229468411526535,1.4079193009270563,0.42584251070949236,0.8086631979555441,0.4291886525344267
18,0.0003,1.392232381476241,0.44651225501211406,0.8250244119677884,1.4078805181715224,0.4307146402897538,0.8123954330679708,0.4307146402897538
19,0.0003,1.3881157681439267,0.45004841536707835,0.8274370089517358,1.4105437177198905,0.4261734478130573,0.8021179974628155,0.4307146402897538
20,0.0003,1.3841537822014605,0.4531024648937518,0.8299599194302921,1.4014052660376937,0.4372782261771249,0.8125425162251108,0.4372782261771249
21,0.0003,1.3807905651084564,0.45632811318981686,0.8313633522228169,1.4035203743863989,0.4363038002610726,0.8216249011785038,0.4372782261771249
22,0.0003,1.377013201006768,0.45974783152269394,0.8340435615733156,1.3962024119165208,0.4383629644610322,0.8122667353054733,0.4383629644610322
23,0.0003,1.3739670099445573,0.4629939082436866,0.8362151031431174,1.391344337551682,0.44989060690187715,0.8249526576087955,0.44989060690187715
24,0.0003,1.3703165390297367,0.4652941488905322,0.837798306075005,1.3854842208049916,0.4458642054751705,0.8211836517070839,0.44989060690187715
25,0.0003,1.3674835434537342,0.468826223560511,0.8398738340476473,1.3852652024339747,0.4589546064606277,0.8377121214906877,0.4589546064606277
26,0.0003,1.363960625234377,0.4708302520459068,0.8417736775659123,1.396177519250799,0.4349616664521704,0.8155761063411227,0.4589546064606277
27,0.0003,1.3607675703184092,0.4735594896162316,0.8436551355017425,1.3860727040855974,0.44610321560552296,0.8263315622069828,0.4589546064606277
28,0.0003,1.3573142212965295,0.4768872800369346,0.8455856216573989,1.3748147553867764,0.46092184368737477,0.8373076428085529,0.46092184368737477
29,0.0003,1.3537277948881241,0.4804826828241889,0.8475120221280699,1.3823242408257943,0.45367799819823135,0.8236656799838209,0.46092184368737477
30,0.0003,1.351079777287541,0.4829402223429769,0.8484067871398979,1.389149060955754,0.44294092772701366,0.8199334448713942,0.46092184368737477
